SKU,Name,Category,Department,Unit,List Price,Contract Price,Compliance Cite,Compliance Note,Image Status,Image File,Seller,Barcode
MVS-EM-27,"Earmuffs — Over-the-Head, NRR 27",jobsite,Jobsite Compliance,each,24,,1926.101(a),"Same rule as the plugs: 1926.101(a), triggered by the 1926.52 noise limits. Muffs at NRR 27 go on and off in a second, which wins around intermittent saw and generator noise — and 1926.101(c) requires ear protectors to be individually fitted, which a muff solves for anyone a foam plug never fits.",glyph,,MVS,
MVS-EL-GFCI,"GFCI Pigtail — Inline, 12/3, Single Tap",jobsite,Jobsite Compliance,each,42,,1926.404(b)(1)(ii),"1926.404(b)(1)(ii) requires GFCI protection for every 120-volt, 15- and 20-amp receptacle outlet on site that is not part of the building's permanent wiring. A generator or a house receptacle borrowed for temp power usually has none — this pigtail puts the GFCI at the source, first thing plugged in, so everything downstream is protected.",glyph,,MVS,
MVS-EL-123,"Extension Cord — 100 ft, 12/3 SJTW",jobsite,Jobsite Compliance,each,85,,1926.405(a)(2)(ii)(J),"1926.405(a)(2)(ii)(J) requires flexible cords on construction sites to be hard or extra-hard usage — the junk-drawer cord is a citation. At 100 ft only 12-gauge keeps a saw from browning out at the far end, and the damaged-cord inspections of 1926.416 are why crews buy these by the pair.",glyph,,MVS,
MVS-EL-STR,"LED Work Light String — 100 ft, 10 Lamps",jobsite,Jobsite Compliance,each,129,,1926.56(a),"1926.56(a) sets minimum illumination for work in progress — 5 foot-candles for general construction areas, more in shops and offices — and interiors fail it fast once walls go up before the fixtures do. A 100 ft LED stringer lights a floor per drop and draws a fraction of the old incandescent strings.",glyph,,MVS,
MVS-RF-SYN10,Synthetic Roof Underlayment — 10-Square Roll,roofing,Roofing Accessories,roll,85,,IRC R905.1.1,"IRC R905.1.1 requires underlayment beneath the roof covering, and synthetics run to ASTM D8257 where felt ran to D226 — lighter, flatter, and it does not tear off the deck in the first gust. One roll covers ten squares, which is why crews order it by the job, not the roll.",photo,mvs-rf-syn10.jpg,MVS,
MVS-RF-IWS,"Ice & Water Shield — Self-Adhering, 2-Square Roll",roofing,Roofing Accessories,roll,69,,IRC R905.1.2,"IRC R905.1.2 requires an ice barrier at the eaves — from the edge to at least 24 in inside the exterior wall line — where ice damming has a history. ASTM D1970 is the self-adhering membrane spec, and the self-sealing around nail shanks is the property being bought.",glyph,,MVS,
MVS-RF-DE10,"Drip Edge — Aluminum, 10 ft",roofing,Roofing Accessories,each,9.25,,IRC R905.2.8.5,"IRC R905.2.8.5 requires a drip edge at eaves and rakes on shingle roofs, adjacent pieces lapped a minimum of 2 in — and it is the line every takeoff shorts. Every foot of eave and rake gets covered, so it sells by the 10-ft stick in bundle quantities.",photo,mvs-rf-de10.jpg,MVS,
MVS-RF-BOOT,Pipe Boot Flashing — Fits 1.5–3 in Vents,roofing,Roofing Accessories,each,13.5,,IRC R903.2,"IRC R903.2 requires flashings at every roof penetration, and the plumbing vent is the penetration on every house. A sun-cracked boot is the most common roof leak there is — crews keep a stack on the truck because every reroof replaces every boot on the deck.",photo,mvs-rf-boot.jpg,MVS,
MVS-RF-CN72,"Coil Roofing Nails — 1-1/4 in, 7,200 ct",roofing,Roofing Accessories,box,42,,IRC R905.2.5,"IRC R905.2.5 spells out the shingle fastener: galvanized or otherwise corrosion-resistant, 12-gauge shank, 3/8-in head, long enough to penetrate the deck 3/4 in — which is exactly what a 1-1/4 in coil nail to ASTM F1667 is. At four to six nails a shingle, the 7,200-count box is the unit roofers reorder by.",glyph,,MVS,
MVS-FS-EX9,"Exterior Screws — #9 × 2-1/2 in, 5 lb",sheathing,Sheathing & Framing,box,37,,—,"No code names this box — it is what crews actually burn through on decks, fences, blocking and bracing. The polymer coating is the point: modern ACQ-treated lumber corrodes unprotected steel, so an exterior-rated coating is the difference between a screw and a future stain with no head left.",glyph,,MVS,
MVS-FS-DW158,"Drywall Screws — #6 × 1-5/8 in Coarse, 5 lb",drywall,Drywall,box,25,,ASTM C840,"ASTM C1002 is the drywall screw spec, and C840 — the same standard the board hangs to — sets the spacing: 12 in on ceilings, 16 in on walls framed at 16. Coarse thread for wood studs, 1-5/8 in for 1/2-in board, and a 5-lb box hangs roughly a dozen sheets.",glyph,,MVS,
MVS-AD-CON28,"Construction Adhesive — Subfloor, 28 oz",sheathing,Sheathing & Framing,tube,12.5,,—,"ASTM D3498 is the subfloor adhesive spec, and gluing the deck to the joists is the difference between a floor and a squeak generator — the glued-floor system is how nail pops stop being a callback. A 28-oz tube runs about three sheets; order it by the case with the OSB.",glyph,,MVS,
MVS-SL-PU10,Polyurethane Sealant — 10 oz Cartridge,siding,Siding,tube,11,,—,"ASTM C920 Class 25 means the cured joint moves 25% and comes back — which is what an exterior expansion joint does through a Kentucky summer. Polyurethane bonds to concrete, masonry and metal and takes paint: the tube for sill joints, penetrations, and everything silicone would peel from.",glyph,,MVS,
MVS-SL-SIL10,"Silicone Sealant — 100%, 10.1 oz Cartridge",siding,Siding,tube,11.5,,—,"Same ASTM C920 spec, different chemistry: silicone shrugs off UV and water indefinitely but takes no paint, so it goes where the joint stays exposed — window perimeters, flashing laps, wet locations. The 10.1-oz cartridge is the standard gun size; buy the color, because you cannot paint over the mistake.",glyph,,MVS,
MVS-FT-475,"Flashing Tape — Self-Adhered, 4 in × 75 ft",sheathing,Sheathing & Framing,roll,29,,IRC R703.4,"IRC R703.4 requires flashing at window and door openings to keep water out of the wall, and self-adhered flashing tape to AAMA 711 is how production crews do it: sill first, jambs over sill, head over jambs — shingle-lapped and rolled hard. The 4-in × 75-ft roll does about six openings.",glyph,,MVS,
MVS-BT-CAU,"Barricade Tape — CAUTION, 3 in × 1,000 ft",site,Site Protection & Erosion,roll,11,,1926.200(c),"OSHA's sign rules at 1926.200 set the color language — yellow with black lettering means caution — and barricade tape borrows it to flag a hazard faster than any sign can go up. Wet concrete, open edges being worked, overhead work below: a roll a week is normal on an active site.",glyph,,MVS,
MVS-BT-DAN,"Barricade Tape — DANGER, 3 in × 1,000 ft",site,Site Protection & Erosion,roll,11,,1926.200(b),"1926.200(b) reserves the red danger scheme for immediate hazard — red with DANGER means keep out entirely, where caution yellow means proceed with care. Crews string it at excavation edges, energized gear and crane swing radius; if the hazard would stop an inspector, it gets red tape, not yellow.",glyph,,MVS,
MVS-MP-INV,"Marking Paint — Inverted Tip, Case of 12",site,Site Protection & Erosion,case,89,,APWA / 811,"The APWA uniform color code is the language on the ground — white for proposed work, red for electric, yellow for gas — and an 811 locate arrives in exactly these colors. Inverted-tip cans spray upside down through a wand all day; layout crews buy it by the 12-can case, one color per trade.",glyph,,MVS,
MVS-PY-620,"Poly Sheeting — 6 mil, 20 ft × 100 ft",site,Site Protection & Erosion,roll,89,,IRC R506.2.3,"IRC R506.2.3 requires a 6-mil vapor retarder under every concrete slab, joints lapped 6 in — one 20 × 100 roll does a 2,000 sq ft pour. The rest of the roll never goes to waste: containment walls, curing cover, and everything a winter jobsite needs wrapped.",glyph,,MVS,
MVS-TP-2030,Heavy-Duty Tarp — 20 ft × 30 ft,site,Site Protection & Erosion,each,115,,—,"No rule orders a tarp; weather does. A 20 × 30 heavy-duty poly covers a lumber drop, a tear-off caught by rain, or an open trailer — and the difference between heavy-duty and the hardware-store special is the weave count and UV treatment that decide whether it survives a season or one storm.",glyph,,MVS,
MVS-FP-RAM,Floor Protection Board — 38 in × 100 ft Roll,site,Site Protection & Erosion,roll,66,,—,"Temporary floor protection is pure economics: 100 ft of roll costs less than refinishing one scratch across a finished floor. The heavy fiberboard roll lays flat without curl-back, takes cart and lift traffic, and is the spec GCs write into finish-phase logistics plans.",glyph,,MVS,
MVS-SW-18,"Stretch Wrap — 18 in × 1,500 ft, 80 ga",site,Site Protection & Erosion,roll,24,,—,"The 18-in hand roll is how loose material survives the truck: banded windows, cut trim, a cart of fixtures, door slabs in pairs. 80-gauge is the working weight for jobsite loads, and at this price crews stop rationing it — wrap the load or chase it down the interstate.",glyph,,MVS,
MVS-EC-SILT,"Silt Fence — 36 in × 100 ft, Staked",site,Site Protection & Erosion,roll,42,,EPA CGP / SWPPP,"Any site disturbing an acre or more operates under the EPA Construction General Permit and its state twins, and the SWPPP those permits require almost always draws silt fence at the downhill perimeter. The staked contractor roll goes in fast — and a blown-out run is the fine an inspector writes without leaving the truck.",glyph,,MVS,
MVS-EC-SF4,"Safety Fence — Orange, 4 ft × 100 ft",site,Site Protection & Erosion,roll,44,,1926.202,"Orange mesh is the site's fastest barricade: 1926.202 wants barricades for traffic conforming to the MUTCD, and inside the fence line the same roll flags open excavations, drop zones and swing radius. It stops nobody physically — it exists so nobody can say they didn't see it.",glyph,,MVS,
MVS-EC-SB100,"Sandbags — Empty, Woven PP, Bundle of 100",site,Site Protection & Erosion,bundle,52,,—,"Empty bags, filled on site: ballast for silt fence and safety fence, hold-downs for poly and tarps, inlet protection around storm drains, and gravity for anything the wind wants. UV-treated polypropylene survives a season in the sun where the cheap bag splits in a month.",glyph,,MVS,
MVS-PT-448,"Post — 4×4×8 PT #2, Ground Contact",decking,Decking & Outdoor Lumber,EA,11.85,,IRC R507,"IRC R507 is the prescriptive deck chapter, and R317.1 puts treated or naturally durable wood everywhere lumber sits exposed or near grade. UC4A ground-contact treatment is the retention that survives soil splash — and modern copper treatments eat bare steel, so hang it on coated or hot-dip fasteners only.",glyph,,MVS,
MVS-PT-668,"Post — 6×6×8 PT #2, Ground Contact",decking,Decking & Outdoor Lumber,EA,29.5,,IRC R507.4,"IRC R507.4 sizes deck support posts, and a 6×6 covers every bearing height the table allows where a 4×4 runs out early. UC4B is the heavy ground-contact retention for structural posts. Every field cut exposes untreated core — swab it with copper naphthenate or the rot starts at your saw kerf.",glyph,,MVS,
MVS-PT-2812,Joist — 2×8×12 PT #2 SYP,decking,Decking & Outdoor Lumber,EA,14.75,,IRC R507.6,"IRC R507.6 sets deck joist spans — a #2 southern pine 2×8 at 16 in on center is good for roughly 11 ft 8 in of joist span, which is why it is the corridor's default deck joist. The ledger comes out of the same pile: R507.9 wants it the same depth as the joists it carries.",photo,mvs-pt-2812.jpg,MVS,
MVS-PT-21012,Beam Stock — 2×10×12 PT #2 SYP,decking,Decking & Outdoor Lumber,EA,21.5,,IRC R507.5,"IRC R507.5 sizes deck beams by ply and span: a doubled 2×10 over posts at 8 ft covers the spans these decks draw. Fasten the plies per the table, crown both up, and keep post bearing full — a beam notched to a sliver on top of a 6×6 is the failure photo in every deck-collapse report.",glyph,,MVS,
MVS-PT-5412,"Deck Board — 5/4×6×12 PT, Radius Edge",decking,Decking & Outdoor Lumber,EA,12.95,,IRC R507.7,"IRC R507.7 wants decking fastened to each joist per its span rating, and 5/4 radius-edge board is rated for joists at 16 in on center. Treated boards ship wet and shrink — set them near-tight and the sun opens the gap; the 5.5 in face plus the gap is what the takeoff counts per course.",photo,mvs-pt-5412.jpg,MVS,
MVS-PT-248,Rail Stock — 2×4×8 PT #2,decking,Decking & Outdoor Lumber,EA,6.45,,IRC R507.10.2,"The treated 2×4 is the guard's top and bottom rail and the blocking between joists. IRC R507.10.2 hangs the number on the assembly it joins: a guard that resists a 200 lb concentrated load at the top — which is a post-connection problem the rail carries the load to, not a reason to skip the rail.",glyph,,MVS,
MVS-PT-BAL,"Baluster — 2×2×42 PT, Beveled",decking,Decking & Outdoor Lumber,EA,1.95,,IRC R312.1.3,"IRC R312.1.3 is the 4-inch-sphere rule: no opening in a required guard may pass a 4 in sphere. A 1-1/2 in baluster every 5-1/2 in of run leaves a hair under 4 in clear — which is why the takeoff counts balusters off rail length, not off guesswork.",glyph,,MVS,
MVS-HD-LUS28,"Joist Hanger — 2×8, Double-Shear, G90",decking,Decking & Outdoor Lumber,EA,2.1,,IRC R507.6.1,"IRC R507.6.1 requires deck joist bearing or an approved hanger at the ledger — toenails alone are exactly what the rule exists to end. A G90-galvanized double-shear hanger is the approved path, and it only carries its rating with every nail hole filled with the listed fastener, not whatever was in the pouch.",glyph,,MVS,
MVS-HD-ABU66,"Post Base — 6×6, Standoff, ZMAX",decking,Decking & Outdoor Lumber,EA,28.5,,IRC R507.4.1,"IRC R507.4.1 wants deck posts restrained against lateral displacement at the footing, and a cast-in or anchored standoff base is the listed way to do it. The 1 in standoff matters as much as the steel: post end grain sitting in water rots from the bottom up, treated or not. ZMAX (G185) coating is the grade rated for contact with modern treated lumber.",glyph,,MVS,
MVS-FS-STR50,"Structural Screws — 1/4 × 3 in, 50 ct",decking,Decking & Outdoor Lumber,box,44,,IRC R507.9.1.3,"IRC R507.9.1.3 fastens the ledger with 1/2 in lags or bolts — or fasteners installed per an ICC-ES evaluation report, which is what a structural screw's paperwork is. Two staggered rows at the table spacing, into the band, through flashing, and the report in the job file is what the inspector actually reads.",glyph,,MVS,
MVS-CN-80,Concrete Mix — 80 lb Bag,decking,Decking & Outdoor Lumber,bag,6.5,,IRC R507.3,"IRC R507.3 puts deck footings on undisturbed or compacted soil, sized to the load and — R507.3.3 — carried below the local frost line. Bagged ASTM C387 mix at 4,000 psi is how a three-post deck gets poured without ordering a truck; the takeoff runs three bags per post and the frost depth comes from the county, not the bag.",glyph,,MVS,
MVS-RSF-SC3,"Screen frame, 3-member galvanized tube (SC3 equal)",screen,Roof Screen Parts,LF,38.5,,,,glyph,,MVS,
MVS-RSB-SQ,"Square base support, adjustable for roof slope",screen,Roof Screen Parts,EA,46,,,,glyph,,MVS,
MVS-RSH-HAT,"Hat channel, 20 ga galvanized",screen,Roof Screen Parts,LF,1.95,,,,glyph,,MVS,
MVS-RSP-26,"Rib panel, 26 ga, 7.2 in module, 1-1/2 in rib",screen,Roof Screen Parts,SF,1.85,,,,glyph,,MVS,
MVS-RSP-29,"Rib panel, 29 ga, 7.2 in module",screen,Roof Screen Parts,SF,1.35,,,,glyph,,MVS,
MVS-RSS-STC,"Panel screw, #12 self-drill, bonded washer, painted head",screen,Roof Screen Parts,EA,0.62,,,,glyph,,MVS,
MVS-RSA-ANC,"Certified roof anchor, 5,000 lb, ANSI/ASSP Z359.18 Type D",screen,Roof Screen Parts,EA,268,,,,glyph,,MVS,
MVS-RSE-SHP,Shop drawings and sealed calculations,screen,Roof Screen Parts,LOT,850,,,,glyph,,MVS,
